2026-07-13 12:32:43 | WARNING  | oecd_connector | client:157 | HTTP 429 recu de l'API OCDE. Pause de 0 secondes.
2026-07-13 12:32:43 | WARNING  | oecd_connector | client:157 | HTTP 429 recu de l'API OCDE. Pause de 0 secondes.
2026-07-13 12:32:44 | WARNING  | oecd_connector | client:157 | HTTP 429 recu de l'API OCDE. Pause de 0 secondes.
2026-07-13 12:32:44 | WARNING  | oecd_connector | discover:184 | DSD introuvable pour DSD_FUA_TERR : Echec de la requete vers https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_TERR/1.1 apres 3 tentatives : None
2026-07-13 12:32:44 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Collectivités locales - Villes et FUA' (DSD_FUA_TERR@DF_LAU)...
2026-07-13 12:32:44 | WARNING  | oecd_connector | client:157 | HTTP 429 recu de l'API OCDE. Pause de 0 secondes.
2026-07-13 12:32:44 | WARNING  | oecd_connector | client:157 | HTTP 429 recu de l'API OCDE. Pause de 0 secondes.
2026-07-13 12:32:44 | WARNING  | oecd_connector | client:157 | HTTP 429 recu de l'API OCDE. Pause de 0 secondes.
2026-07-13 12:32:44 | WARNING  | oecd_connector | discover:184 | DSD introuvable pour DSD_FUA_TERR : Echec de la requete vers https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_TERR/1.1 apres 3 tentatives : None
2026-07-13 12:32:44 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Accès aux transports publics - FUA' (DSD_FUA_TRAN@DF_PT_ACCESS)...
2026-07-13 12:32:44 | WARNING  | oecd_connector | client:157 | HTTP 429 recu de l'API OCDE. Pause de 0 secondes.
2026-07-13 12:32:44 | WARNING  | oecd_connector | client:64 | Limite de 60 requetes/heure atteinte. Pause de 3569.2 secondes...
2026-07-13 12:36:02 | INFO     | oecd_connector | main:120 | Demarrage du connecteur OCDE - BF Pulse.
2026-07-13 12:36:02 | INFO     | oecd_connector | main:121 | Configuration chargee : pays cible=BFA, quota API=60 req/h, base=https://sdmx.oecd.org/public/rest
2026-07-13 12:36:02 | INFO     | oecd_connector | database:119 | Verification/creation des tables PostgreSQL...
2026-07-13 12:36:02 | INFO     | oecd_connector | database:121 | Tables pretes : sources, datasets, indicators, observations.
2026-07-13 12:36:02 | INFO     | oecd_connector | discover:122 | Recuperation de la liste des dataflows OCDE (all)...
2026-07-13 12:36:04 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/dataflow/all/all/latest [200] (8820439 octets)
2026-07-13 12:36:04 | INFO     | oecd_connector | discover:160 | 1541 dataflows trouves.
2026-07-13 12:36:04 | INFO     | oecd_connector | discover:164 | Analyse limitee aux 15 premiers dataflows (MAX_DATAFLOWS_TO_SCAN).
2026-07-13 12:36:04 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Air Emissions Accounts' (SEEA_AEA_A)...
2026-07-13 12:36:04 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/ESTAT/SEEAAIR/1.4 [200] (721148 octets)
2026-07-13 12:36:04 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'SDG Country Global Dataflow' (DF_SDG_GLC)...
2026-07-13 12:36:05 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/IAEG-SDGs/SDG/1.20 [200] (2955085 octets)
2026-07-13 12:36:05 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'SDG Harmonized Global Dataflow' (DF_SDG_GLH)...
2026-07-13 12:36:05 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/IAEG-SDGs/SDG/1.20 [200] (2955085 octets)
2026-07-13 12:36:05 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Projections climatiques pour la période 2030-2060 - Villes et FUAs' (DSD_FUA_CLIM@DF_CLIM_PROJ)...
2026-07-13 12:36:05 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.4 [200] (2129131 octets)
2026-07-13 12:36:06 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Inondations côtières - Villes et FUA' (DSD_FUA_CLIM@DF_COASTAL_FLOOD)...
2026-07-13 12:36:06 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.5 [200] (2631284 octets)
2026-07-13 12:36:06 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Sécheresse - Villes et FUAs' (DSD_FUA_CLIM@DF_DROUGHT)...
2026-07-13 12:36:06 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.4 [200] (2129131 octets)
2026-07-13 12:36:06 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Feux de forêt - Villes et FUA' (DSD_FUA_CLIM@DF_FIRES)...
2026-07-13 12:36:06 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.5 [200] (2631284 octets)
2026-07-13 12:36:06 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Stress thermique - Villes et FUA' (DSD_FUA_CLIM@DF_HEAT_STRESS)...
2026-07-13 12:36:07 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.5 [200] (2631284 octets)
2026-07-13 12:36:07 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Température à la surface du sol - Villes et FUAs' (DSD_FUA_CLIM@DF_LAND_TEMP)...
2026-07-13 12:36:07 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.2 [200] (2122557 octets)
2026-07-13 12:36:07 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Précipitations - Villes et FUAs' (DSD_FUA_CLIM@DF_PRECIP)...
2026-07-13 12:36:07 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.5 [200] (2631284 octets)
2026-07-13 12:36:07 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Inondations fluviales - Villes et FUA' (DSD_FUA_CLIM@DF_RIVER_FLOOD)...
2026-07-13 12:36:08 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.5 [200] (2631284 octets)
